"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9396","Кнопка ""Домой"" не возвращает пользователя на главную","chromium","Thu May 08 10:56:53 GMT 2025","passed","Thu May 08 10:57:02 GMT 2025","Поиск 5 багов на сайте академии багов","tests.spec.js","",""
"","1968","Краш при смене количества отображаемых на странице товаров","chromium","Thu May 08 10:56:45 GMT 2025","passed","Thu May 08 10:56:47 GMT 2025","Поиск 5 багов на сайте академии багов","tests.spec.js","",""
"","3330","Едет верстка фото товара","chromium","Thu May 08 10:56:48 GMT 2025","passed","Thu May 08 10:56:51 GMT 2025","Поиск 5 багов на сайте академии багов","tests.spec.js","",""
"","2047","Краш при смене типа валюты","chromium","Thu May 08 10:56:51 GMT 2025","passed","Thu May 08 10:56:53 GMT 2025","Поиск 5 багов на сайте академии багов","tests.spec.js","",""
"","5138","При переходе на производителя 404","chromium","Thu May 08 10:57:02 GMT 2025","passed","Thu May 08 10:57:08 GMT 2025","Поиск 5 багов на сайте академии багов","tests.spec.js","",""
